,사업장명,위도,경도
189,호텔 부티크나인,37.57644528990867,127.02667399985872
190,유에이치 스위트 더 서울,37.556305612338654,126.96817274113396
191,BENIKEA Hotel FLOWER,37.584862269421194,127.0504902710426
192,(주)유니크 서울,37.603739108325506,127.06222265814974
193,아리랑힐 호텔 동대문,37.59358499544938,127.01656826863977
194,호텔 디 아티스트 성신여대점,37.59390718527045,127.01875753086031
195,D.H 네상스,37.59281730193466,127.01848793430752
196,리비에르,37.592588187382994,127.01828531130391
197,영호스텔,37.647724929406486,127.01137252666618
198,쏠라리움씨티,37.635169242671935,127.02607652622
199,호텔 빅토리아,37.61059319353266,127.03081770049423
200,휴호스텔,37.53767253371912,127.08510399825514
201,에이치에비뉴 성신여대점 호텔,37.59422351258004,127.01911639741495
202,드씨엘관광호텔,37.6077824322082,127.07869543503386
203,라코지스테이서울,37.594245296797276,127.07845869446172
204,더데이 관광호텔,37.685112116287414,127.04564147670462
205,(주)써클관광개발 호텔베이 204,37.66781177381968,127.04365011444617
206,포레스타호텔,37.60859420913712,126.92943734271678
207,호텔디아티스트 연신내점,37.62248690971822,126.91942630586674
208,시안호텔,37.60878980249734,126.92849165878435
209,와이호텔,37.587871795674324,126.91590491273732
210,브릭스관광호텔,37.59990383434349,126.92119237368014
211,폼호텔,37.617066929657675,126.92215222319442
212,그린홈 호스텔,37.64967037496059,127.03471025222639
213,호텔 맥,37.62008990897392,126.92132505373388
214,호텔 미드시티 명동,37.56766333430858,126.98110262771796
215,호텔씨에스에비뉴,37.59909823408039,126.9364267404255
216,벨라지오 관광호텔,37.60945977200241,126.93200717531577
217,호텔루 136,37.60773934729037,126.92531862362719
218,24게스트하우스 신촌에비뉴엘점,37.55792238516825,126.93769845629599
219,스탠포드호텔코리아(주) 스탠포드호텔서울,37.58232516840178,126.8866638504403
220,홀리데이 인 익스프레스 서울 홍대,37.557161521067286,126.92797004548649
221,클레오,37.5613895097781,126.926653943946
222,서울그랜드호스텔 이대,37.55689102237678,126.943405633882
223,디케이하우스(DK HOUSE),37.55754488333295,126.94424761160445
224,나비호스텔,37.55798483771431,126.9247265816346
225,나인브릭,37.5537838133063,126.92056913720519
226,(주)호텔롯데 L7홍대,37.555728026814776,126.92163358344744
227,(주)호텔롯데 롯데시티 호텔마포,37.54493136738706,126.95059611328745
228,써클호텔,37.54885612450866,126.91075660013686
229,케이호스텔,37.54519903059999,126.92994410713838
230,스튜디오 135 호스텔,37.47975123373145,126.89099186639899
231,NEO SEOUL,37.554648055520296,126.9181889698495
232,원앤온니에이엠씨,37.55719642755024,126.91858819608237
233,글래드호텔 마포,37.54301191251403,126.95118813683607
234,신라스테이 마포,37.542873553237925,126.94969844232085
235,에이치에비뉴 호텔 이대점,37.556239499157776,126.9425731521606
236,(주)서울가든,37.54069473114428,126.94836007866986
237,호텔 디오레,37.555547326409844,126.92036001597427
238,호텔 더 디자이너스 홍대,37.55190346426762,126.91757714481788
239,더 엠 호텔,37.56399304549085,126.91344227803499
240,구로 제이에스 호스텔,37.47950410988003,126.89100027343214
241,필호스텔,37.54748247462754,126.84641847642064
242,호텔 타워,37.529930903171866,126.8408520500689
243,호텔 디아망,37.54851605810328,126.81930838143182
244,호텔에스,37.53024335764006,126.84468754137957
