,충전소명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도
167,정릉태영아파트,연중무휴,0:00,23:59,Y,N,2.0,0.0,Y,37.60614982,127.0157101
168,정릉힐스테이트,연중무휴,0:00,23:59,Y,N,2.0,0.0,Y,37.60301074,127.0159676
169,종암아이파크아파트,연중무휴,0:00,23:59,Y,N,4.0,0.0,Y,37.60280996,127.0293259
170,중계중앙하이츠아쿠아,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.61937376,127.00230619999999
171,한국국토정보공사 서울중부지사,연중무휴,0:00,18:00,Y,N,4.0,0.0,Y,37.58777242,127.0207604
172,정릉중앙하이츠아파트,연중무휴,0:00,23:59,Y,N,2.0,0.0,Y,37.61937376,127.00230619999999
173,대림어린이공원,x,0:00,0:00,N,Y,0.0,1.0,Y,37.49133176,126.9030162
174,롯데마트 양평점,o,10:00,22:00,N,Y,0.0,2.0,Y,37.52606589,126.891572
175,성애병원,x,0:00,0:00,N,Y,0.0,1.0,Y,37.51205054,126.92236909999998
176,한국장애인개발원 본사,x,9:00,19:00,N,Y,0.0,1.0,Y,37.52686988,126.9178436
177,홈플러스 영등포점,o,10:00,22:00,N,Y,0.0,1.0,N,37.5182397,126.89588020000001
178,당산에스에이치빌 아파트 앞,x,0:00,0:00,N,Y,0.0,1.0,N,37.52419721,126.90149699999999
179,신길제5동 주민센터,x,0:00,0:00,N,Y,0.0,1.0,N,37.5016416,126.90521899999999
180,영등포 제3공영 주차장,x,0:00,0:00,N,Y,0.0,1.0,Y,37.51628002,126.9055469
181,신길4동1마을공원 공영주차장,x,0:00,0:00,N,Y,0.0,1.0,Y,37.50715236,126.9116554
182,영등포구청 환승공영주차장,x,6:00,21:00,N,Y,0.0,1.0,Y,37.5247471,126.895522
183,대신시장 공중전화,x,0:00,0:00,N,Y,0.0,1.0,Y,37.51107124,126.9175497
184,당산노외 공영주차장,x,0:00,0:00,Y,Y,1.0,1.0,Y,37.52365797,126.9001612
185,남서울직할,x,0:00,0:00,N,Y,0.0,1.0,Y,37.5274781,126.9302904
186,영등포전력지사,x,0:00,0:00,N,Y,0.0,1.0,Y,37.51701737,126.91022620000001
187,남서울직할(영등포)지사,x,0:00,0:00,N,Y,0.0,1.0,Y,37.520317799999994,126.89276299999999
188,영남공영주차장,x,0:00,0:00,N,Y,0.0,1.0,Y,37.51946997,126.90258600000001
189,국회도서관,x,0:00,0:00,N,Y,0.0,3.0,Y,37.53291197,126.9164039
190,국회의원회관,x,0:00,0:00,N,Y,0.0,3.0,Y,37.53291197,126.9164039
191,롯데 빅마켓,o,10:00,22:00,N,Y,0.0,6.0,Y,37.52781676,126.9046832
192,영등포구청역 공영주차장,x,0:00,0:00,N,Y,0.0,1.0,Y,37.52463244,126.8947068
193,대림운동장,x,0:00,0:00,N,Y,0.0,1.0,Y,37.49967021,126.89399679999998
194,이마트 성수점(지상5층 주차장),연중무휴,10:00,23:00,N,Y,0,0,Y,37.53993004,127.05349270000002
195,세창주유소,연중무휴,0:00,23:59,N,Y,2.0,0.0,N,37.60880691,127.0294733
196,돈암일신건영휴먼빌아파트,연중무휴,0:00,23:59,Y,N,6.0,0.0,Y,37.60076937,127.0136162
197,래미안길음2차아파트,연중무휴,0:00,23:59,Y,N,2.0,0.0,Y,37.61080537,127.0206116
198,보문하우스토리입주자대표회의,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.584136799999996,127.02092040000001
199,정릉경남아파트,연중무휴,0:00,23:59,Y,N,6.0,0.0,Y,37.60484489,127.0178071
200,정릉꿈에그린,연중무휴,0:00,23:59,Y,N,3.0,0.0,Y,37.60185803,127.0111115
201,서울시 양재2동 주민센터,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.470644,127.04123
202,현대차 남부서비스센터,연중무휴,0:00,23:59,N,Y,0.0,1.0,N,37.51394627,126.9344456
203,중앙대학교병원 다정관 주차장,연중무휴,0:00,23:59,N,Y,0.0,1.0,Y,37.506036200000004,126.96042
204,동작주차공원 공영주차장,연중무휴,0:00,23:59,N,Y,0.0,1.0,Y,37.50389272,126.97765690000001
